requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
12,2022-04-29,12,13,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
12,2022-05-31,12,13,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SM.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
12,2022-06-30,12,13,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,sp.SHFE"
12,2022-07-29,12,13,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,ru.SHFE,si.GFEX"
12,2022-08-31,12,13,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
12,2022-09-30,12,13,True,True,"FG.CZCE,OI.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
12,2022-10-31,12,13,True,True,"AP.CZCE,FG.CZCE,OI.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX,sp.SHFE"
12,2022-11-30,12,13,True,True,"AP.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
12,2022-12-30,12,13,True,True,"AP.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
12,2023-01-31,12,13,True,True,"AP.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE"
12,2023-02-28,12,13,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,rb.SHFE,si.GFEX"
